Aldebaran: (04 35 55.23907, 16 30 33.4885)
Alnath: (05 26 17.5, 28 36 27)
Hyadum 1: (04 19 47.6, 15 37 39)
Hyadum 2: (04 22 56.1, 17 32 33)
Ain: (04 28 37.0, 19 10 49)
Alcyone: (03 47 29.1, 24 06 18)
Celaeno: (03 44 48.2, 24 17 22)
Electra: (03 44 52.5, 24 06 48)
Taygeta: (03 45 12.5, 24 28 02)
Maia: (03 45 49.6, 24 22 04)
Asterope: (03 45 54.4, 24 33 17)
Sterope 2: (03 46 02.9, 24 31 41)
Merope: (03 46 19.6, 23 56 54)
Atlas: (03 49 09.7, 24 03 12)
Pleione: (03 49 11.2, 24 08 12)
