Betelgeuse: (05 55 10.30536, 07 24 25.4304)
Rigel: (05 14 32.27210, -08 12 05.8981)
Bellatrix: (05 25 07.86325, 06 20 58.9318)
Mintaka: (05 32 00.40009, -00 17 56.7424)
Alnilam: (05 36 12.8, -01 12 06.9)
Alnitak: (05 40 45.52666, -01 56 34.2649)
Saiph: (05 47 45.38884, -09 40 10.5777)
Meissa: (05 35 08.27761, 09 56 02.9611)
Hatysa: (05 35 25.98191, -05 54 35.6435)
Sirius: (06 45 08.91728, -16 42 54.0171)
Wezen: (07 08 23.48608, -26 23 35.5474)
Mirzam: (06 22 41.98735, -17 57 21.3073)
Unurgunite: (07 01 43.14779, -27 56 05.3898)
Furud: (06 20 18.79204, -30 03 48.1202)
Tau Canis Majoris: (07 18 42.48642, -24 57 15.7413)
Van Maanen 2: (00 49 09.89841, 05 23 18.9931)
Alrescha: (02 02 02.81972, 02 45 49.5410)
Delta Piscium: (00 48 40.94433, 07 35 06.2926)
Epsilon Piscium: (01 02 56.60862, 07 53 24.4855)
Gamma Piscium: (23 17 09.93749, 03 16 56.2380)
Pollux: (07 45 18.94987, 28 01 34.3160)
Castor: (07 34 35.863, 31 53 17.79)
Alhena: (06 37 42.71050, 06 23 57.4095)
Wasat: (07 20 07.37978, 21 58 56.3377)
Mebsuta: (06 43 55.92626, 25 07 52.0515)
Mekbuda: (07 04 06.53079, 20 34 13.0739)
Propus: (06 14 52.657, 22 30 24.48)
Tejat: (06 22 57.62686, 22 30 48.8979)
Rotanev: (20 37 32.94130, 14 35 42.3195)
Sualocin: (20 39 38.28720, 15 54 43.)
Aldulfin: (20 33 12.77192, 11 18 11.7412)
Gamma Delphini: (20 46 38.7, 16 7 38)
Delta Delphini: (20 43 27.53338, 15 04 28.4773)
Eta Delphini: (20 33 57.04099, 13 01 38.1437)
Alphecca: (15 34 41.268, 26 42 52.89)
Nusakan: (15 27 49.7308, 29 06 20.530)
Gamma Coronae Borealis: (15 42 44.56551, 26 17 44.2847)
Epsilon Coronae Borealis: (15 57 35.25147, 26 52 40.3635)
Aldebaran: (04 35 55.23907, 16 30 33.4885)
Alnath: (05 26 17.5, 28 36 27)
Hyadum 1: (04 19 47.6, 15 37 39)
Hyadum 2: (04 22 56.1, 17 32 33)
Ain: (04 28 37.0, 19 10 49)
Alcyone: (03 47 29.1, 24 06 18)
Celaeno: (03 44 48.2, 24 17 22)
Electra: (03 44 52.5, 24 06 48)
Taygeta: (03 45 12.5, 24 28 02)
Maia: (03 45 49.6, 24 22 04)
Asterope: (03 45 54.4, 24 33 17)
Sterope 2: (03 46 02.9, 24 31 41)
Merope: (03 46 19.6, 23 56 54)
Atlas: (03 49 09.7, 24 03 12)
Pleione: (03 49 11.2, 24 08 12)
Anser: (19 28 42.330, 24 39 53.65)
Cor Caroli: (12 56 01.66622, 38 19 06.1541)
Chara: (12 33 44.54482, 41 21 26.9248)
Hamal: (02 07 10.40570, 23 27 44.7032)
Botein: (03 11 37.76465, 19 43 36.0397)
Mesarthim: (01 53 31.479, 19 17 37.8790)
Zeta Arietis: (03 14 54.09731, 21 02 40.0103)
Mirfak: (03 24 19.37009, 49 51 40.2455)
Algol: (03 08 10.13245, 40 57 20.3280)
Zeta Persei: (03 54 07.92248, 31 53 01.0812)
Epsilon Persei: (03 57 51.23205, 40 00 36.7752)
Gamma Persei: (03 04 47.79074, 53 30 23.1687)
Delta Persei: (03 42 55.50426, 47 47 15.1746)
Gorgonea Tertia: (03 05 10.59385, 38 50 24.9943)
Miram: (02 50 41.80959, 55 53 43.7876)
Atik: (03 44 19.13204, 32 17 17.6929)
Gamma Comae Berenices: (12 26 56.27207, 28 16 06.3211)
Beta Comae Berenices: (13 11 52.39379, 27 52 41.4535)
Diadem: (13 09 59.285, 17 31 46.04)
Polaris: (02 31 49.09, 89 15 50.8)
Kochab: (14 50 42.32580, 74 09 19.8142)
Pherkad: (15 20 43.71604, 71 50 02.4596)
Epsilon Ursae Minoris: (16 45 58.24168, 82 02 14.1233)
Zeta Ursae Minoris: (15 44 03.5193, 77 47 40.175)
Yildun: (17 32 12.99671, 86 35 11.2584)
Eta Ursae Minoris: (16 17 30.28696, 75 45 19.1885)
Theta Ursae Minoris: (15 31 25.05417, 77 20 57.6199)
Schedar: (00 40 30.4405, 56 32 14.392)
Caph: (00 09 10.68518, 59 09 59.2120)
Navi: (00 56 42.50108, 60 43 00.2984)
Ruchbah: (01 25 48.95147, 60 14 07.0225)
Segin: (01 54 23.72567, 63 40 12.3628)
Altair: (19 50 46.99855, 08 52 05.9563)
Tseen Foo: (20 11 18.28528, -00 49 17.2626)
Tarazed: (19 46 15.58029, 10 36 47.7408)
Thalimain: (19 06 14.93898, -04 52 52.2007)
Alshain: (19 55 18.79256, 06 24 24.3425)
Delta Aquilae: (19 25 29.90139, 03 06 53.2061)
Eta Aquilae: (19 52 28.38775, 01 00 20.3696)
Deneb el Okab: (18 59 37.35872, 15 04 05.8871)
Zeta Cygni: (21 12 56.18594, 30 13 36.8957)
Deneb: (20 41 25.9, 45 16 49)
Sadr: (20 22 13.70184, 40 15 24.0450)
Aljanah: (20 46 12.68236, 33 58 12.9250)
Fawaris: (19 44 58.47854, 45 07 50.9161)
Albireo: (19 30 43.286, 27 57 38.84)
Eltanin: (17 56 36.36988, 51 29 20.0242)
Eta Draconis: (16 23 59.48594, 61 30 51.1699)
Rastaban: (17 30 25.96170, 52 18 04.9993)
Altais: (19 12 33.30197, 67 39 41.5456)
Aldhibah: (17 08 47.19596, 65 42 52.8634)
Edasich: (15 24 55.77463, 58 57 57.8344)
Chi Draconis: (18 21 03.38255, 72 43 58.2518)
Thuban: (14 04 23.3498, 64 22 33.062)
Grumium: (17 53 31.72962, 56 52 21.5143)
Giausar: (11 31 24.22075, 69 19 51.8696)
Kappa Draconis: (12 33 28.94325, 69 47 17.6490)
Capella: (05 16 41.35871, 45 59 52.7693)
Menkalinan: (05 59 31.72293, 44 56 50.7573)
Mahasim: (05 59 43.27012, 37 12 45.3047)
Hassaleh: (04 56 59.62109, 33 09 57.9585)
Almaaz: (05 01 58.129, 43 49 23.87)
Haedus: (05 06 30.89337, 41 14 04.1127)
Delta Aurigae: (05 59 31.63201, 54 17 04.7703)
Arcturus: (14 15 39.7, 19 10 56)
Izar: (14 44 59.21746, 27 04 27.2099)
Muphrid: (13 54 41.07892, 18 23 51.7946)
Princeps: (15 15 30.16295, 33 18 53.3926)
Rho Bootis: (14 31 49.78962, 30 22 17.1781)
Alpha Lacertae: (22 31 17.50131, 50 16 56.9682)
EV Lacertae: (22 46 49.7323, 44 20 02.368)
Beta Lacertae: (22 23 33.624, 52 13 44.56)
Dubhe: (11 03 43.67152, 61 45 03.7249)
Merak: (11 01 50.47654, 56 22 56.7339)
Phecda: (11 53 49.84732, 53 41 41.1350)
Megrez: (12 15 25.56063, 57 01 57.4156)
Alioth: (12 54 01.74959, 55 57 35.3627)
Mizar: (13 23 55.54048, 54 55 31.2671)
Alkaid: (13 47 32.43776, 49 18 47.7602)
Metallah: (01 53 04.9, 29 34 44)
Beta Trianguli: (02 09 32.62712, 34 59 14.2694)
Gamma Trianguli: (02 17 18.86703, 33 50 49.8950)
Alpha Monocerotis: (07 41 14.833, -09 33 04.07)
Gamma Monocerotis: (06 14 51.33367, -06 16 29.1880)
Beta Moncerotis: (06 28 49.0700, -07 01 59.025)
Alpheratz: (00 08 23.25988, 29 05 25.5520)
Mirach: (01 09 43.92388, 35 37 14.0075)
Gamma Andromedae: (02 03 54.0, 42 19 47)
Delta Andromedae: (00 39 19.67518, 30 51 39.6783)
Lambda Andromedae: (23 37 33.84261, 46 27 29.3380)
Eta Andromedae: (00 57 12.4000, 23 25 03.533)
Kitalpha: (21 15 49.43192, 05 14 52.2430)
Delta Equulei: (21 14 28.81531, 10 00 25.1259)
Gamma Equulei: (21 10 20.50005, 10 07 53.6763)
Beta Sagittae: (19 41 02.93907, 17 28 33.7528)
Gamma Sagittae: (19 58 45.42863, 19 29 31.7281)
Delta Sagittae: (19 47 23.26253, 18 32 03.4401)
Sham: (19 40 05.7918540977, 18 00 50.0044597761)
Tarf: (08 16 30.9206, 09 11 07.961)
Asellus Australis: (08 44 41.09921, 18 09 15.5034)
Asellus Borealis: (08 43 17.14820, 21 28 06.6008)
Decapoda: (08 46 41.81988, 28 45 35.6190)
Tegmine: (08 12 12.7, 17 38 52)
Sadalsuud: (21 31 33.53171, -05 34 16.2320)
Sadalmelik: (22 05 47.03593, -00 19 11.4568)
Skat: (22 54 39.0125, -15 49 14.953)
Hydor: (22 52 36.87441, -07 34 46.5542)
Alabli: (20 47 40.55260, -09 29 44.7877)
Gamma Aquarii: (22 21 39.37542, -01 23 14.4031)
Phi Aquarii: (23 14 19.35965, -06 02 56.3986)
Mu Aquarii: (20 52 39.23277, -08 58 59.9499)
Sigma Aquarii: (22 30 38.81546, -10 40 40.6238)
Enif: (21 44 11.15614, 09 52 30.0311)
Scheat: (23 03 46.45746, 28 04 58.0336)
Markab: (23 04 45.65345, 15 12 18.9617)
Algenib: (00 13 14.15123, 15 11 00.9368)
Matar: (22 43 00.13743, 30 13 16.4822)
Homam: (22 41 27.72072, 10 49 52.9079)
Sadalbari: (22 50 00.19315, 24 36 05.6984)
Binham: (22 10 11.98528, 06 11 52.3078)
Praecipua: (10 53 18.70487, 34 12 52.5375)
37 Leonis Minoris: (11 01 49.67462, -02 29 04.5007)
Beta Leonis: (10 27 53.000, 36 42 25.96)
